특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_peak_3d_2area,all,None,Linear SVM,0.7067,0.6467,0.61,0.56
F_dasm_3d,delta,None,Linear SVM,0.6133,0.5777,0.58,0.56
F_de_3d_Fp1,alpha,None,Ensemble (Majority Vote),0.78,0.6267,0.56,0.56
F_de_3d,theta,None,Logistic Regression,0.72,0.6434,0.6,0.56
F_peak_3d19,delta,None,XGBoost,0.9867,0.9129,0.57,0.5586
F_dasm_3d19,delta,None,Logistic Regression,0.68,0.6131,0.57,0.5586
F_dasm_3d_10rm,delta,norm3,Ensemble (Majority Vote),0.7867,0.6655,0.58,0.5586
F_peak_3d_10rm,beta,None,Logistic Regression,0.7333,0.6685,0.56,0.5586
F_peak_3d_8rm,all,norm3,KNN,1.0,0.9731,0.61,0.5586
F_de_3d_Fp2,all,None,Random Forest,0.7667,0.671,0.54,0.5586
F_de_3d_10rm,all,norm3,KNN,1.0,0.9471,0.64,0.5586
F_peak_3d,all,None,Random Forest,0.94,0.8515,0.61,0.5586
F_de_3d_10rm,delta,None,Random Forest,0.8333,0.7214,0.59,0.5586
F_peak_3d,all,norm3,Random Forest,0.96,0.8814,0.56,0.5586
F_de_3d_C4,theta,None,Linear SVM,0.56,0.5303,0.56,0.5586
F_de_3d_10rm,beta,None,Linear SVM,0.72,0.6533,0.62,0.5586
F_peak_3d_F4,alpha,None,Linear SVM,0.5733,0.5499,0.6,0.5586
F_mean_3d_F4,all,None,KNN,0.9867,0.7423,0.57,0.5586
F_dasm_3d_8rm,delta,norm3,Random Forest,0.78,0.6356,0.6,0.5586
F_mean_3d_10rm,theta,None,Logistic Regression,0.72,0.6232,0.57,0.5586
F_median_3d_Fz,beta,None,Ensemble (Majority Vote),0.7333,0.6303,0.58,0.5586
F_median_3d_Fz,alpha,None,Logistic Regression,0.5533,0.5375,0.55,0.5586
F_median_3d_Fz,alpha,None,Linear SVM,0.5667,0.5384,0.55,0.5586
F_de_3d_1area,alpha,None,Linear SVM,0.5667,0.5515,0.6,0.5586
F_mean_3d_F3,all,norm3,Logistic Regression,0.66,0.5814,0.59,0.5586
F_median_3d_Fz,all,None,Linear SVM,0.5933,0.5697,0.58,0.5586
F_rasm_3d_10rm,all,None,Ensemble (Majority Vote),0.9733,0.7494,0.62,0.5586
F_mean_3d_8rm,theta,None,Linear SVM,0.6467,0.6097,0.6,0.5586
F_peak_3d_3area,beta,norm3,KNN,0.96,0.6977,0.61,0.5586
F_peak_3d_3area,beta,norm3,Random Forest,0.7733,0.6382,0.6,0.5586
F_dasm_3d_10rm,delta,None,Ensemble (Majority Vote),0.8,0.6828,0.61,0.5586
F_median_3d_Fz,alpha,None,Ensemble (Majority Vote),0.68,0.5977,0.57,0.5571
F_mean_3d_2area,beta,None,Ensemble (Majority Vote),0.7733,0.6501,0.58,0.5571
F_median_3d_10rm,beta,None,Random Forest,0.8667,0.7356,0.59,0.5571
F_mean_3d_Fz,theta,None,Ensemble (Majority Vote),0.7133,0.6041,0.57,0.5571
F_mean_3d19,theta,None,Linear SVM,0.82,0.6811,0.56,0.5571
F_de_3d_1area,alpha,None,Logistic Regression,0.5667,0.5515,0.6,0.5571
F_median_3d_F4,all,None,Logistic Regression,0.64,0.6025,0.55,0.5571
F_median_3d19,all,None,XGBoost,1.0,0.9913,0.6,0.5571
F_peak_3d_1area,all,None,Ensemble (Majority Vote),0.8133,0.7113,0.59,0.5571
F_de_3d_Fz,delta,None,KNN,0.9667,0.7005,0.61,0.5571
F_dasm_3d19,delta,norm3,XGBoost,0.9667,0.7816,0.52,0.5571
F_de_3d_8rm,beta,None,Logistic Regression,0.68,0.6329,0.55,0.5571
F_dasm_3d19,all,None,Linear SVM,0.9067,0.7506,0.56,0.5571
F_peak_3d_3area,all,norm3,Logistic Regression,0.7467,0.6789,0.56,0.5571
F_de_3d_Fz,all,norm3,KNN,0.98,0.757,0.62,0.5571
F_de_3d19,all,None,Linear SVM,1.0,0.9025,0.54,0.5571
F_de_3d_F3,beta,None,KNN,0.9667,0.6998,0.58,0.5571
F_mean_3d,theta,None,Logistic Regression,0.7467,0.6331,0.59,0.5571
F_peak_3d_10rm,all,None,Linear SVM,0.9933,0.8464,0.58,0.5571
F_dasm_3d,theta,norm2,Random Forest,0.98,0.6807,0.58,0.5571
F_de_3d_8rm,beta,None,Random Forest,0.8067,0.7234,0.56,0.5571
F_dasm_3d19,all,norm3,Logistic Regression,0.9133,0.7508,0.56,0.5571
F_de_3d_C4,theta,None,Logistic Regression,0.56,0.531,0.56,0.5571
F_mean_3d19,delta,None,Linear SVM,0.84,0.6874,0.53,0.5571
F_peak_3d_10rm,beta,None,Linear SVM,0.7267,0.6674,0.55,0.5571
F_peak_3d,gamma,norm3,Random Forest,0.86,0.7441,0.54,0.5571
F_peak_3d_3area,all,norm3,Ensemble (Majority Vote),0.9267,0.817,0.58,0.5571
F_peak_3d_F8,all,norm3,Ensemble (Majority Vote),0.7733,0.6697,0.62,0.5557
F_de_3d_T7,all,norm3,Logistic Regression,0.62,0.5855,0.58,0.5557
F_peak_3d_2area,all,norm3,Ensemble (Majority Vote),0.88,0.7694,0.61,0.5557
F_median_3d_Fz,alpha,None,XGBoost,0.5867,0.5717,0.58,0.5557
F_mean_3d_8rm,theta,None,Logistic Regression,0.66,0.6083,0.57,0.5557
